event_id,date,event_type,source_credibility,cartel_name,faction,target_type,state,municipality,region_type,lat,lon,killed_count,killed_civilians,killed_security_forces,killed_cartel,arrested_count,missing_count,drugs_seized_kg,drug_type,cash_seized_usd,weapons_seized,us_involvement,us_agency,trump_policy_trigger,source_url,event_summary
MEX-001,2026-02-22,killing,major_outlet,CJNG,main,cartel_leader,Jalisco,Tapalpa,rural,19.9333,-103.75,7,0,0,7,2,0,0,unknown,0,15,yes,US Military Intelligence,yes,https://www.aljazeera.com/news/2026/2/22/mexico-announces-killing-of-drug-cartel-kingpin-el-mencho,"El Mencho, CJNG leader, killed in military raid in Tapalpa, Jalisco. US military-led group aided the operation."
MEX-002,2026-02-22,mass_violence,major_outlet,CJNG,main,military,Jalisco,Guadalajara,urban,20.6597,-103.3496,25,3,25,0,0,0,0,unknown,0,0,no,none,no,https://apnews.com/article/mexico-jalisco-cartel-mencho-sheinbaum-trump-226e50edc33f981d5d6509acc7021ae5,CJNG retaliation after El Mencho killing. 25 National Guard members killed in 6 separate attacks across Jalisco.
MEX-003,2026-02-24,mass_violence,major_outlet,CJNG,main,civilian,Michoacan,Zamora,urban,19.9839,-102.2836,12,12,0,0,0,0,0,unknown,0,0,no,none,no,https://www.cnn.com/2026/02/24/americas/mexico-cartels-us-tourists-latam-intl,"Continued CJNG retaliatory violence spreads to Michoacan, civilians caught in crossfire."
MEX-004,2025-09-26,arrest,major_outlet,CJNG,main,cartel_member,Multi-state,unknown,urban,0.0,0.0,0,0,0,0,670,0,1200,fentanyl,45000000,320,yes,DEA,yes,https://mexiconewsdaily.com/news/dea-members-jalisco-new-generation-cartel/,DEA-led operation targeting CJNG results in 670 arrests across multiple US and Mexico states. Large fentanyl and cash seizures.
MEX-005,2025-08-10,mass_violence,major_outlet,Sinaloa,Los Chapitos,rival_cartel,Sinaloa,Culiacan,urban,24.8091,-107.394,17,2,0,15,0,0,0,unknown,0,0,no,none,no,https://www.cnn.com/2025/08/18/americas/mexico-killings-sinaloa-cartel-kingpin-latam-intl,Record homicide day in Sinaloa during internal Chapitos vs Mayos civil war. 17 killed in single day in Culiacan.
MEX-006,2025-09-09,mass_violence,major_outlet,Sinaloa,Los Mayos,rival_cartel,Sinaloa,Culiacan,urban,24.8091,-107.394,1828,400,50,1378,0,2390,0,mixed,0,0,no,none,no,https://efe.com/en/other-news/2025-09-10/sinaloas-year-of-cartel-violence-leaves-more-than-1800-dead-and-2300-missing/,One-year cumulative report: Sinaloa civil war between Chapitos and Mayos factions leaves 1828 dead and 2390 missing since El Mayo arrest.
MEX-007,2024-07-25,arrest,government,Sinaloa,Los Mayos,cartel_leader,Sonora,Hermosillo,urban,29.073,-110.9559,0,0,0,0,1,0,0,unknown,0,0,yes,DEA,no,https://en.wikipedia.org/wiki/Infighting_in_the_Sinaloa_Cartel,"Ismael 'El Mayo' Zambada, Sinaloa Cartel co-founder, arrested and extradited to the US. Triggered massive internal cartel war."
MEX-008,2026-02-21,arrest,government,Sinaloa,Los Mayos,cartel_leader,Sinaloa,Culiacan,urban,24.8091,-107.394,0,0,0,0,1,0,0,unknown,0,0,yes,ODNI,yes,https://www.dni.gov/index.php/newsroom/press-releases/press-releases-2025/4119-pr-36-25,ODNI identifies and locates top Sinaloa Plaza Boss. Arrested with US intelligence assistance.
MEX-009,2026-01-09,policy,government,Multiple,unknown,government_official,Federal,Mexico City,urban,19.4326,-99.1332,0,0,0,0,0,0,0,unknown,0,0,yes,White House,yes,https://www.cnn.com/2026/01/09/americas/analysis-mexican-drug-cartels-trump-intl-latam,Trump formally designates Mexican cartels as terrorist organizations. Increases pressure on Mexico for military cooperation.
MEX-010,2026-02-22,operation,major_outlet,CJNG,main,cartel_leader,Jalisco,Tapalpa,rural,19.9333,-103.75,0,0,0,0,0,0,0,unknown,0,0,yes,US Military,yes,https://www.reuters.com/world/americas/new-us-military-led-group-aided-mexicos-hunt-el-mencho-cartel-boss-2026-02-22/,New US military-led intelligence group revealed to have aided Mexico in locating El Mencho. First known direct US military intel role in Mexico cartel operation.
